ticker,exchange,asset_class,quantity,avg_buy_price,currency,purchase_date
RELIANCE.NS,NSE,equity,20,2648.50,INR,2023-06-15
TCS.NS,NSE,equity,10,3742.00,INR,2023-09-20
INFY.NS,NSE,equity,25,1718.75,INR,2022-11-10
HDFCBANK.NS,NSE,equity,30,1615.20,INR,2023-03-05
ICICIBANK.NS,NSE,equity,40,1098.40,INR,2022-08-22
BAJFINANCE.NS,NSE,equity,5,7185.00,INR,2024-01-15
TATAMOTORS.NS,NSE,equity,35,872.60,INR,2023-11-20
SBIN.NS,NSE,equity,60,748.30,INR,2023-07-10
SUNPHARMA.NS,NSE,equity,15,1643.00,INR,2024-02-28
HCLTECH.NS,NSE,equity,20,1698.50,INR,2024-01-10
LT.NS,NSE,equity,8,3887.00,INR,2023-08-05
MARUTI.NS,NSE,equity,3,12480.00,INR,2024-03-15
NIFTYBEES.NS,NSE,etf,100,238.50,INR,2022-05-15
GOLDBEES.NS,NSE,etf,200,57.80,INR,2023-01-20
LIQUIDBEES.NS,NSE,etf,50,1000.00,INR,2024-04-01
